matrix,vol_mfg,vol_mmg,vol_mfgir,vol_pfg,vol_pmg,vol_pfgir,time_mfg,time_mmg,time_mfgir,time_pfg,time_pmg,time_pfgir
rajat01,23,38,22,20,20,20,0.159576,0.167916,0.168493,0.068763,0.045126,0.071881
rajat08,186,160,186,160,160,160,0.121229,0.069701,0.127481,0.048461,0.040376,0.055152
rw496,39,38,37,39,37,38,0.005792,0.005534,0.006753,0.002756,0.0044,0.003242
lp_d6cube,393,236,383,228,252,222,0.781871,0.435957,0.797092,0.038856,0.025543,0.045577
dwt_869,28,24,24,35,24,34,0.018664,0.013034,0.020505,0.006785,0.005956,0.008111
flower_7_1,24,25,24,24,24,24,0.004309,0.002841,0.004482,0.002015,0.002102,0.002323
adder_dcop_69,102,82,91,28,21,28,0.055823,0.060719,0.062258,0.013397,0.011133,0.014548
adder_dcop_68,102,82,91,28,21,28,0.055231,0.054132,0.061922,0.012476,0.010687,0.019843
adder_dcop_67,102,82,91,28,21,28,0.055551,0.054133,0.061908,0.013221,0.011314,0.014906
adder_dcop_66,102,82,91,28,21,28,0.062463,0.054133,0.062052,0.015051,0.010473,0.014543
adder_dcop_65,102,82,91,28,21,28,0.055677,0.054097,0.062503,0.013207,0.010976,0.014973
adder_dcop_64,102,82,91,28,21,28,0.055933,0.054222,0.06202,0.013718,0.010965,0.014635
ww_vref_6405,36,41,36,40,36,40,0.069103,0.056892,0.074303,0.03531,0.028655,0.040554
adder_dcop_62,102,82,91,28,21,28,0.056037,0.054348,0.062056,0.013488,0.010608,0.015149
adder_dcop_61,102,82,91,28,21,28,0.055302,0.053844,0.062257,0.013213,0.011206,0.015832
adder_dcop_60,102,82,91,28,21,28,0.05561,0.055316,0.062028,0.012973,0.010659,0.014692
complex,552,384,384,440,385,399,0.27092,0.0714,0.283419,0.128618,0.036684,0.138831
M20PI_n1,8,4,4,4,4,4,0.004459,0.004974,0.006147,0.002579,0.003489,0.002837
176bit,3587,3184,3115,3449,3102,3102,1.294368,1.000269,1.468733,0.226585,0.292688,0.310235
Chebyshev1,4,4,4,4,4,4,0.009006,0.004886,0.009314,0.005463,0.003844,0.004986
Chebyshev3,288,20,264,4,4,4,0.678484,0.188846,0.688928,0.018647,0.013419,0.022233
Chebyshev2,168,36,144,4,4,4,0.171518,0.056552,0.178304,0.01061,0.007918,0.012187
Trefethen_20,20,20,20,18,21,18,0.001608,0.000748,0.001844,0.000921,0.000806,0.000926
S80PI_n,10,8,10,6,6,6,0.012117,0.009921,0.013919,0.006976,0.006927,0.008744
